,date,target,x1,x2,x3,x4,x5,x6,x7,v,bitcoin,crypto
95,2021-11-02,63226.4,61004.41,61318.96,61888.83,62227.96,60622.14,58482.39,60363.79,36150572843,35,57
96,2021-11-03,62970.05,63226.4,61004.41,61318.96,61888.83,62227.96,60622.14,58482.39,37746665647,39,61
97,2021-11-04,61452.23,62970.05,63226.4,61004.41,61318.96,61888.83,62227.96,60622.14,36124731509,46,42
98,2021-11-05,61125.67,61452.23,62970.05,63226.4,61004.41,61318.96,61888.83,62227.96,32615846901,43,51
99,2021-11-06,61527.48,61125.67,61452.23,62970.05,63226.4,61004.41,61318.96,61888.83,30605102446,32,45
100,2021-11-07,63326.99,61527.48,61125.67,61452.23,62970.05,63226.4,61004.41,61318.96,29094934221,54,43
101,2021-11-08,67566.83,63326.99,61527.48,61125.67,61452.23,62970.05,63226.4,61004.41,24726754302,39,33
102,2021-11-09,66971.83,67566.83,63326.99,61527.48,61125.67,61452.23,62970.05,63226.4,41125608330,44,40
103,2021-11-10,64995.23,66971.83,67566.83,63326.99,61527.48,61125.67,61452.23,62970.05,42357991721,65,51
104,2021-11-11,64949.96,64995.23,66971.83,67566.83,63326.99,61527.48,61125.67,61452.23,48730828378,54,44
105,2021-11-12,64155.94,64949.96,64995.23,66971.83,67566.83,63326.99,61527.48,61125.67,35880633236,43,50
106,2021-11-13,64469.53,64155.94,64949.96,64995.23,66971.83,67566.83,63326.99,61527.48,36084893887,69,100
107,2021-11-14,65466.84,64469.53,64155.94,64949.96,64995.23,66971.83,67566.83,63326.99,30474228777,50,43
108,2021-11-15,63557.87,65466.84,64469.53,64155.94,64949.96,64995.23,66971.83,67566.83,25122092191,43,55
109,2021-11-16,60161.25,63557.87,65466.84,64469.53,64155.94,64949.96,64995.23,66971.83,30558763548,59,43
110,2021-11-17,60368.01,60161.25,63557.87,65466.84,64469.53,64155.94,64949.96,64995.23,46844335592,65,49
111,2021-11-18,56942.14,60368.01,60161.25,63557.87,65466.84,64469.53,64155.94,64949.96,39178392930,58,51
112,2021-11-19,58119.58,56942.14,60368.01,60161.25,63557.87,65466.84,64469.53,64155.94,41388338699,62,41
113,2021-11-20,59697.2,58119.58,56942.14,60368.01,60161.25,63557.87,65466.84,64469.53,38702407772,79,69
114,2021-11-21,58730.48,59697.2,58119.58,56942.14,60368.01,60161.25,63557.87,65466.84,30624264863,42,91
115,2021-11-22,56289.29,58730.48,59697.2,58119.58,56942.14,60368.01,60161.25,63557.87,26123447605,46,55
116,2021-11-23,57569.07,56289.29,58730.48,59697.2,58119.58,56942.14,60368.01,60161.25,35036121783,48,59
